Вопрос: Какой газ составляет большую часть атмосферы Земли?Варианты ответов: Кислород; Азот;   Углекислый газ;          АргонПравильный ответ: Азот
Вопрос: Какое устройство используется для измерения температуры?Варианты ответов:          Барометр;          Термометр;          Манометр;          СпидометрПравильный ответ: Термометр
Вопрос: Как называется процесс превращения воды в пар?Варианты ответов:          Испарение;          Конденсация;          Замерзание;          КипениеПравильный ответ: Испарение
Вопрос: Какой ученый открыл закон всемирного тяготения?Варианты ответов:          Исаак Ньютон;          Альберт Эйнштейн;          Чарльз Дарвин;          Николай КоперникПравильный ответ: Исаак Ньютон
Вопрос: Какая единица измерения силы в Международной системе единиц (СИ)?Варианты ответов:          Ватт;          Ньютон;          Ом;          ГерцПравильный ответ: Ньютон
Вопрос: Какой химический элемент обозначается символом "O"?Варианты ответов:          Олово;          Оксиген;          Озон;          УранПравильный ответ: Оксиген
Вопрос: Как называются частицы, из которых состоят атомы?Варианты ответов:          Молекулы;          Электроны;          Фотоны;          ИоныПравильный ответ: Электроны
Вопрос: Какой процесс происходит в зеленых частях растений под воздействием света?Варианты ответов:          Фотосинтез;          Дыхание;          Разложение;          ПитаниеПравильный ответ: Фотосинтез
Вопрос: Как называется теория эволюции, предложенная Чарльзом Дарвином?Варианты ответов:          Теория относительности;          Теория большого взрыва;          Естественный отбор;          Квантовая механикаПравильный ответ: Естественный отбор
Вопрос: Как называют ученых, изучающих звезды и планеты?Варианты ответов:          Биологи;          Астрономы;          Географы;          ФизикиПравильный ответ: Астрономы
Вопрос: Какое вещество вызывает коррозию металлов?Варианты ответов:          Вода;          Воздух;          Огонь;          КислотностьПравильный ответ: Вода
Вопрос: Какой орган человека отвечает за фильтрацию крови?Варианты ответов:          Печень;          Легкие;          Почки;          ЖелудокПравильный ответ: Почки
Вопрос: Как называется явление, когда объекты кажутся движущимися относительно друг друга, хотя оба находятся в покое?Варианты ответов:          Иллюзия движения;          Параллакс;          Относительность;          Эффект ДоплераПравильный ответ: Относительность
Вопрос: Какой прибор используют для наблюдения за удаленными объектами в космосе?Варианты ответов:          Микроскоп;          Телескоп;          Радар;          СканерПравильный ответ: Телескоп
Вопрос: Как называется самая большая звезда в созвездии Ориона?Варианты ответов:  Сириус;  Бетельгейзе;  Процион;  ПоллуксПравильный ответ: Бетельгейзе
Вопрос: Какой элемент периодической таблицы известен как "золото"?Варианты ответов:  Au;  Ag;  Cu;  FeПравильный ответ: Au
Вопрос: Как называется фаза Луны, когда она полностью освещена?Варианты ответов:  Новолуние;  Первая четверть;  Полнолуние;  Последняя четвертьПравильный ответ: Полнолуние
Вопрос: Какой газ преобладает в составе воздуха, который мы выдыхаем?Варианты ответов:  Кислород;  Углекислый газ;  Азот;  Водяной парПравильный ответ: Углекислый газ
Вопрос: Как называется научный метод, основанный на наблюдении, гипотезе и эксперименте?Варианты ответов:  Дедукция;  Индукция;  Научный метод;  АнализПравильный ответ: Научный метод
Вопрос: Какой минерал является основным компонентом песка?Варианты ответов:  Кварц;  Графит;  Алмаз;  ПиритПравильный ответ: Кварц
